group,label,file,n_messages,tokens,humor_markers,humor_per_1k
environment,baseline,Subj_533.txt,533,76459,50,0.6539
environment,tribe,Combined_banter.txt,2640,217817,323,1.4829
environment,four_guys,Anonymized_4_guys.txt,6967,66695,1659,24.8744
environment,acquaintances,Chat_with_Raver.txt,1204,8567,495,57.7799
dyad,WZP_F,WZP_F.txt,6510,50889,2713,53.3121
dyad,WZP_K,WZP_K.txt,11660,105901,3278,30.9534
dyad,WZP_S,WZP_S.txt,8601,65049,1302,20.0157
dyad,WZP_T,WZP_T.txt,18925,129560,5223,40.3134
