segment_id,environment,speaker_id,word_count,sentence_count,emotion_word_count,vulnerability_count,repair_count,second_person_count,directive_count,commitment_count,segment_start_iso,emotional_cost,role_constraint
baseline_00052,baseline,[user],1642,129,0,1,0,6,96,2,2000-01-01T17:08:00,1.2180267965895248,105.96833130328868
baseline_00053,baseline,[user],1892,105,2,0,0,3,70,1,2000-01-01T17:22:00,1.5856236786469344,70.71881606765326
baseline_00054,baseline,[user],1354,81,0,0,0,6,66,10,2000-01-01T17:30:00,0.0,91.2850812407681
banter_00001,banter,[user],1978,130,0,3,0,68,72,1,2000-01-01T00:00:00,3.033367037411527,68.25075834175935
banter_00002,banter,[user],1956,104,0,0,0,30,84,3,2000-01-01T01:24:00,0.0,79.44785276073621
banter_00003,banter,[user],1982,131,0,0,0,43,93,3,2000-01-01T02:24:00,0.0,83.55196770938446
banter_00004,banter,[user],1988,113,1,2,0,47,76,2,2000-01-01T03:08:00,2.7665995975855138,73.34004024144869
banter_00005,banter,[user],1987,118,0,1,0,43,102,3,2000-01-01T04:10:00,1.0065425264217414,94.81630598892804
banter_00006,banter,[user],1996,112,1,1,0,45,79,2,2000-01-01T05:10:00,1.753507014028056,71.84368737474949
banter_00007,banter,[user],1961,102,1,0,0,41,89,0,2000-01-01T05:56:00,0.7649158592554819,84.140744518103
banter_00008,banter,[user],1888,111,0,1,0,68,79,4,2000-01-01T06:50:00,1.0593220338983051,77.22457627118645
banter_00009,banter,[user],1983,92,3,1,0,16,88,2,2000-01-01T08:00:00,3.2778618255168936,80.48411497730712
banter_00010,banter,[user],1968,88,3,0,0,46,95,4,2000-01-01T08:48:00,2.2865853658536586,88.41463414634146
banter_00011,banter,[user],1953,92,0,0,1,43,80,2,2000-01-01T09:46:00,0.5120327700972862,76.49769585253456
banter_00012,banter,[user],1989,100,2,1,0,62,93,4,2000-01-01T10:42:00,2.513826043237808,90.79939668174963
banter_00013,banter,[user],1843,102,0,1,0,24,74,0,2000-01-01T11:54:00,1.0851871947911014,76.50569723277265
banter_00014,banter,[user],1990,84,2,0,0,21,78,5,2000-01-01T12:56:00,1.5075376884422114,74.17085427135677
banter_00015,banter,[user],1781,98,1,2,0,50,78,5,2000-01-01T13:34:00,3.0881527231892196,78.4952274003369
banter_00016,banter,[user],1990,97,0,0,1,47,81,3,2000-01-01T14:14:00,0.5025125628140704,78.39195979899499
banter_00017,banter,[user],1961,111,2,0,0,60,89,11,2000-01-01T15:04:00,1.5298317185109638,85.36460989291179
banter_00018,banter,[user],1924,102,0,0,0,34,92,4,2000-01-01T15:46:00,0.0,88.87733887733889
banter_00019,banter,[user],1913,121,0,1,0,15,96,8,2000-01-01T16:36:00,1.0454783063251436,90.64296915838996
banter_00020,banter,[user],1958,151,1,1,0,8,76,4,2000-01-01T17:40:00,1.7875383043922373,70.7865168539326
banter_00021,banter,[user],1990,103,0,1,0,27,76,3,2000-01-01T18:48:00,1.0050251256281408,74.47236180904524
banter_00022,banter,[user],1936,127,1,0,0,13,78,5,2000-01-01T19:42:00,0.7747933884297522,74.0702479338843
banter_00023,banter,[user],1916,107,1,0,0,35,95,5,2000-01-01T20:38:00,0.7828810020876826,92.37995824634656
banter_00024,banter,[user],1963,87,0,0,0,13,96,1,2000-01-01T21:24:00,0.0,88.33418237391749
banter_00025,banter,[user],1915,123,1,0,0,34,74,4,2000-01-01T22:04:00,0.7832898172323759,73.31592689295039
banter_00026,banter,[user],1963,131,0,3,0,9,89,2,2000-01-01T23:00:00,3.056546102903719,84.9719816607234
banter_00027,banter,[user],1762,111,2,2,0,14,81,1,2000-01-02T00:18:00,3.9727582292849033,83.08740068104427
banter_00028,banter,[user],1869,92,1,0,0,30,83,1,2000-01-02T01:02:00,0.8025682182985553,83.78812199036918
banter_00029,banter,[user],1923,79,0,0,0,15,85,1,2000-01-02T02:04:00,0.0,80.18720748829953
banter_00030,banter,[user],1924,99,1,0,0,23,78,7,2000-01-02T02:32:00,0.7796257796257797,74.22037422037421
banter_00031,banter,[user],1992,81,0,0,0,21,72,1,2000-01-02T03:26:00,0.0,63.25301204819278
banter_00032,banter,[user],1903,114,1,0,0,31,78,1,2000-01-02T04:02:00,0.7882291119285338,74.72411981082502
banter_00033,banter,[user],1984,110,0,1,0,25,71,3,2000-01-02T04:54:00,1.0080645161290323,65.92741935483872
banter_00034,banter,[user],1984,140,1,1,0,13,95,4,2000-01-02T05:54:00,1.7641129032258065,87.39919354838709
banter_00035,banter,[user],1721,101,0,1,0,19,79,6,2000-01-02T07:02:00,1.1621150493898895,84.71818710052295
banter_00036,banter,[user],1947,81,0,1,0,20,84,3,2000-01-02T08:06:00,1.0272213662044172,78.89060092449922
banter_00037,banter,[user],1987,131,0,1,0,18,86,6,2000-01-02T08:34:00,1.0065425264217414,78.2083543029693
banter_00038,banter,[user],1932,123,1,2,0,24,93,4,2000-01-02T09:32:00,2.846790890269151,87.57763975155281
banter_00039,banter,[user],1919,106,0,1,0,16,106,6,2000-01-02T10:14:00,1.0422094841063052,102.24075039082857
banter_00040,banter,[user],1958,93,0,1,0,16,109,3,2000-01-02T10:50:00,1.021450459652707,101.7364657814096
banter_00041,banter,[user],1886,79,1,1,0,20,82,4,2000-01-02T11:26:00,1.855779427359491,83.35100742311771
banter_00042,banter,[user],1906,93,0,0,0,14,82,3,2000-01-02T12:14:00,0.0,79.01364113326338
banter_00043,banter,[user],1840,118,0,0,0,21,96,5,2000-01-02T12:58:00,0.0,97.17391304347825
banter_00044,banter,[user],1984,87,0,1,0,10,111,4,2000-01-02T13:32:00,1.0080645161290323,102.52016129032258
banter_00045,banter,[user],1995,109,1,1,0,12,95,4,2000-01-02T14:08:00,1.7543859649122806,86.61654135338345
banter_00046,banter,[user],1890,129,1,1,0,25,78,4,2000-01-02T14:38:00,1.851851851851852,74.92063492063494
banter_00047,banter,[user],1987,97,3,0,0,14,100,5,2000-01-02T15:34:00,2.264720684448918,92.40060392551585
banter_00048,banter,[user],1936,103,0,1,1,24,88,6,2000-01-02T16:04:00,1.5495867768595044,83.36776859504133
banter_00049,banter,[user],1989,103,0,0,0,17,91,4,2000-01-02T16:40:00,0.0,81.44796380090497
banter_00050,banter,[user],1638,99,0,1,0,14,80,4,2000-01-02T17:22:00,1.221001221001221,89.37728937728937
banter_00051,banter,[user],1986,109,0,2,0,28,83,6,2000-01-02T17:54:00,2.014098690835851,74.62235649546828
banter_00052,banter,[user],1828,82,2,3,0,9,86,4,2000-01-02T18:42:00,4.9234135667396055,85.0109409190372
banter_00053,banter,[user],1788,108,3,0,0,4,83,2,2000-01-02T19:14:00,2.5167785234899327,83.89261744966444
banter_00054,banter,[user],1990,99,0,1,0,12,105,8,2000-01-02T19:48:00,1.0050251256281408,101.90954773869346
banter_00055,banter,[user],1990,110,1,2,0,25,82,4,2000-01-02T20:20:00,2.7638190954773876,78.09045226130654
banter_00056,banter,[user],1926,129,0,1,0,12,74,2,2000-01-02T20:54:00,1.0384215991692627,69.78193146417445
banter_00057,banter,[user],1849,107,1,1,0,17,68,2,2000-01-02T21:34:00,1.8929150892374258,67.17144402379665
banter_00058,banter,[user],1932,104,0,1,0,22,99,5,2000-01-02T21:58:00,1.0351966873706004,91.92546583850933
banter_00059,banter,[user],1917,85,0,0,0,22,100,3,2000-01-02T22:30:00,0.0,96.71361502347419
banter_00060,banter,[user],1893,80,1,1,0,8,80,3,2000-01-02T23:10:00,1.8489170628631804,80.50713153724249
banter_00061,banter,[user],1948,110,0,0,0,16,103,4,2000-01-02T23:58:00,0.0,97.94661190965093
banter_00062,banter,[user],1890,103,0,0,0,20,87,4,2000-01-03T00:44:00,0.0,84.76190476190476
banter_00063,banter,[user],1939,98,1,1,0,13,123,6,2000-01-03T01:08:00,1.8050541516245486,115.1108818978855
banter_00064,banter,[user],1917,97,0,1,0,8,69,3,2000-01-03T01:46:00,1.0432968179447053,65.72769953051642
banter_00065,banter,[user],1903,131,1,1,0,33,85,3,2000-01-03T02:16:00,1.839201261166579,81.34524435102469
banter_00066,banter,[user],1912,95,3,0,1,10,94,6,2000-01-03T03:14:00,2.8765690376569033,90.69037656903767
banter_00067,banter,[user],1998,111,0,1,0,23,89,5,2000-01-03T03:42:00,1.001001001001001,79.87987987987988
banter_00068,banter,[user],1870,95,0,0,0,19,87,5,2000-01-03T04:26:00,0.0,85.98930481283423
banter_00069,banter,[user],1988,115,0,1,0,19,103,4,2000-01-03T05:02:00,1.006036217303823,93.56136820925553
banter_00070,banter,[user],1951,94,0,3,0,20,77,6,2000-01-03T05:30:00,3.075345976422348,69.19528446950282
banter_00071,banter,[user],1918,99,5,2,0,7,88,4,2000-01-03T06:20:00,5.995828988529718,84.15015641293013
banter_00072,banter,[user],1893,124,0,0,0,6,95,4,2000-01-03T06:54:00,0.0,93.18541996830427
banter_00073,banter,[user],1918,82,0,2,0,13,96,7,2000-01-03T07:36:00,2.0855057351407718,96.03753910323255
banter_00074,banter,[user],1930,127,1,1,0,24,78,4,2000-01-03T08:02:00,1.8134715025906734,76.47668393782384
banter_00075,banter,[user],1906,128,0,2,0,17,71,0,2000-01-03T08:40:00,2.0986358866736623,66.73662119622246
banter_00076,banter,[user],1896,99,1,0,0,21,76,5,2000-01-03T09:16:00,0.7911392405063291,69.9367088607595
banter_00077,banter,[user],1472,99,0,0,0,5,77,1,2000-01-03T09:38:00,0.0,99.45652173913044
banter_00078,banter,[user],1942,95,0,4,0,5,87,4,2000-01-03T10:14:00,4.11946446961895,83.41915550978374
banter_00079,banter,[user],1752,59,0,0,0,8,71,5,2000-01-03T10:36:00,0.0,75.34246575342465
banter_00080,banter,[user],1828,102,1,1,0,4,57,6,2000-01-03T10:50:00,1.9146608315098468,57.439824945295406
banter_00081,banter,[user],1622,89,0,0,0,38,80,1,2000-01-03T11:12:00,0.0,89.51911220715168
banter_00082,banter,[user],1961,77,0,2,0,6,68,3,2000-01-03T11:28:00,2.039775624681285,59.051504334523216
banter_00083,banter,[user],1590,94,1,1,0,2,70,4,2000-01-03T12:00:00,2.20125786163522,85.66037735849056
banter_00084,banter,[user],1968,64,0,0,0,24,78,1,2000-01-03T12:12:00,0.0,71.64634146341463
banter_00085,banter,[user],1936,106,0,1,0,15,76,2,2000-01-03T12:30:00,1.0330578512396695,74.69008264462809
banter_00086,banter,[user],1811,67,3,0,0,5,96,4,2000-01-03T12:58:00,2.484815019326339,96.41082274986196
banter_00087,banter,[user],1845,102,0,3,0,12,91,1,2000-01-03T13:16:00,3.252032520325203,92.03252032520325
banter_00088,banter,[user],1880,70,1,0,0,7,85,2,2000-01-03T13:38:00,0.7978723404255319,80.74468085106385
banter_00089,banter,[user],1929,84,0,0,0,26,86,4,2000-01-03T13:58:00,0.0,83.67029548989113
banter_00090,banter,[user],1820,77,0,1,0,12,50,4,2000-01-03T14:18:00,1.098901098901099,57.36263736263736
banter_00091,banter,[user],1444,78,0,0,0,6,52,3,2000-01-03T14:36:00,0.0,76.45429362880887
banter_00092,banter,[user],1887,99,0,1,0,22,78,1,2000-01-03T14:44:00,1.0598834128245893,75.99364069952304
banter_00093,banter,[user],1876,71,0,1,0,30,70,1,2000-01-03T14:54:00,1.0660980810234542,69.7228144989339
banter_00094,banter,[user],1952,97,1,0,0,10,69,1,2000-01-03T15:14:00,0.7684426229508198,62.70491803278688
banter_00095,banter,[user],1958,119,0,3,0,23,84,2,2000-01-03T15:28:00,3.0643513789581203,87.94688457609806
banter_00096,banter,[user],1699,100,0,4,0,13,35,4,2000-01-03T15:42:00,4.7086521483225425,38.84638022366098
banter_00097,banter,[user],1721,56,0,0,0,20,98,0,2000-01-03T16:08:00,0.0,101.1040092969204
banter_00098,banter,[user],1772,77,2,0,0,8,69,1,2000-01-03T16:22:00,1.6930022573363428,70.76749435665913
banter_00099,banter,[user],1910,86,2,1,0,7,67,2,2000-01-03T16:38:00,2.6178010471204196,70.05235602094241
banter_00100,banter,[user],1729,101,0,2,0,12,67,0,2000-01-03T16:56:00,2.313475997686524,67.66917293233082
banter_00101,banter,[user],1776,96,0,6,0,4,95,2,2000-01-03T17:20:00,6.756756756756757,98.64864864864865
banter_00102,banter,[user],1745,77,0,1,0,11,72,4,2000-01-03T17:32:00,1.146131805157593,76.3323782234957
banter_00103,banter,[user],1730,110,1,1,0,10,95,5,2000-01-03T18:02:00,2.023121387283237,102.65895953757224
banter_00104,banter,[user],1867,117,1,1,0,18,85,2,2000-01-03T18:26:00,1.8746652383502946,85.16336368505624
banter_00105,banter,[user],1920,68,1,1,0,16,82,3,2000-01-03T19:02:00,1.8229166666666667,80.9375
banter_00106,banter,[user],1835,110,0,1,0,19,80,3,2000-01-03T19:18:00,1.0899182561307903,80.76294277929155
banter_00107,banter,[user],1898,89,0,1,0,8,108,4,2000-01-03T19:34:00,1.053740779768177,101.7913593256059
banter_00108,banter,[user],1971,103,0,1,0,29,115,2,2000-01-03T20:18:00,1.0147133434804667,105.0228310502283
banter_00109,banter,[user],1825,120,1,2,0,26,65,9,2000-01-03T20:44:00,3.013698630136986,66.08219178082192
banter_00110,banter,[user],1976,88,5,0,0,17,76,5,2000-01-03T21:10:00,3.7955465587044532,68.92712550607288
banter_00111,banter,[user],1750,76,2,1,0,12,64,5,2000-01-03T21:24:00,2.8571428571428577,67.2
banter_00112,banter,[user],1902,71,0,0,0,11,80,5,2000-01-03T21:46:00,0.0,75.39432176656152
banter_00113,banter,[user],1968,107,1,1,0,19,100,2,2000-01-03T22:00:00,1.7784552845528456,94.51219512195122
banter_00114,banter,[user],1911,90,0,1,1,16,84,3,2000-01-03T22:30:00,1.5698587127158556,81.00470957613814
banter_00115,banter,[user],1462,84,0,0,0,15,62,2,2000-01-03T22:52:00,0.0,79.61696306429549
banter_00116,banter,[user],1895,52,2,0,0,15,75,6,2000-01-03T23:04:00,1.58311345646438,72.82321899736148
banter_00117,banter,[user],1959,90,1,0,0,7,75,5,2000-01-03T23:20:00,0.7656967840735069,68.30015313935681
banter_00118,banter,[user],1880,69,1,2,0,8,96,5,2000-01-03T23:34:00,2.925531914893617,92.23404255319149
banter_00119,banter,[user],1958,91,0,1,0,27,82,3,2000-01-03T23:50:00,1.021450459652707,79.67313585291112
banter_00120,banter,[user],1925,92,1,0,0,15,84,3,2000-01-04T00:12:00,0.7792207792207791,77.61038961038962
banter_00121,banter,[user],1773,92,0,1,0,10,47,1,2000-01-04T00:36:00,1.128031584884377,50.42301184433164
banter_00122,banter,[user],1872,110,0,0,0,28,72,4,2000-01-04T01:02:00,0.0,72.11538461538463
banter_00123,banter,[user],1627,83,0,0,1,6,75,1,2000-01-04T01:24:00,0.6146281499692685,90.71911493546406
banter_00124,banter,[user],1993,109,0,2,0,34,93,5,2000-01-04T01:52:00,2.007024586051179,87.3055694932263
banter_00125,banter,[user],1842,81,1,0,0,13,70,1,2000-01-04T02:16:00,0.8143322475570033,70.6840390879479
banter_00126,banter,[user],1883,80,1,1,0,13,83,2,2000-01-04T02:40:00,1.858736059479554,81.8906001062135
banter_00127,banter,[user],1898,87,1,1,0,10,67,3,2000-01-04T03:08:00,1.84404636459431,67.01791359325607
banter_00128,banter,[user],1929,107,1,2,1,16,78,7,2000-01-04T03:30:00,3.36962156557802,77.1384136858476
banter_00129,banter,[user],1472,59,1,0,0,5,65,2,2000-01-04T03:46:00,1.0190217391304348,83.15217391304348
banter_00130,banter,[user],1958,77,1,2,0,7,89,6,2000-01-04T03:54:00,2.808988764044944,82.12461695607763
