environment,bin,n_messages,total_tokens,score_anger,score_anticipation,score_disgust,score_fear,score_joy,score_sadness,score_surprise,score_trust,per1k_anger,per1k_anticipation,per1k_disgust,per1k_fear,per1k_joy,per1k_sadness,per1k_surprise,per1k_trust
banter,0,189,12720,0.0038819021931942406,0.025829691022920185,0.003622259223799261,0.006569802681958238,0.02506734440698205,0.009554704789931052,0.01131747316163762,0.03299698950861157,3.881902193194251,25.829691022920212,3.622259223799269,6.569802681958253,25.06734440698207,9.554704789931067,11.317473161637635,32.99698950861159
banter,1,188,12103,0.003372446876045193,0.01717110065946652,0.0031024627643385047,0.007887546571482341,0.015964361906872507,0.005507819114154933,0.008350684766397725,0.02635298185102144,3.3724468760452013,17.17110065946654,3.1024627643385125,7.887546571482351,15.964361906872524,5.507819114154943,8.350684766397737,26.352981851021458
banter,2,188,14116,0.004818044176912126,0.020726948716425077,0.00661327636164034,0.006957352332989463,0.01676624671080989,0.009219635943253444,0.008840296319089887,0.024778877954079417,4.818044176912135,20.726948716425103,6.613276361640348,6.957352332989475,16.76624671080991,9.21963594325346,8.840296319089902,24.778877954079448
banter,3,189,13748,0.004904971499872163,0.027323035590045286,0.004883757616065968,0.008056361601795705,0.018675461807317734,0.007360222439917268,0.009645474294607522,0.025018323159785087,4.9049714998721745,27.32303559004531,4.883757616065979,8.056361601795722,18.675461807317756,7.3602224399172815,9.645474294607537,25.01832315978511
banter,4,188,14108,0.006034542172418503,0.027195040805605017,0.003994897706584908,0.008394396066906252,0.01806622970564331,0.00806575872618465,0.011505868065538152,0.027211126514449614,6.034542172418515,27.195040805605043,3.994897706584918,8.394396066906266,18.066229705643334,8.065758726184665,11.50586806553817,27.21112651444964
banter,5,188,16469,0.004214987382896815,0.02568640805100541,0.003165189575325769,0.006531403033807628,0.01381881114541715,0.007254319228145084,0.008891808594091607,0.023496530972954087,4.214987382896824,25.68640805100544,3.1651895753257757,6.531403033807644,13.818811145417177,7.2543192281451,8.891808594091627,23.49653097295412
banter,6,189,18943,0.005387159684858229,0.020319736311600393,0.004045143428903631,0.00778551853690269,0.01471090011329922,0.007699962725380322,0.007527028696523384,0.025978116871589237,5.387159684858243,20.319736311600415,4.045143428903641,7.785518536902706,14.71090011329924,7.69996272538034,7.527028696523401,25.978116871589265
banter,7,188,20334,0.004790273288008709,0.024548606673166218,0.004746492620438639,0.007906091717975627,0.016047530283557813,0.007047095475150252,0.010092332759775596,0.025048418527472086,4.790273288008725,24.548606673166255,4.74649262043865,7.906091717975648,16.047530283557844,7.047095475150272,10.092332759775617,25.048418527472116
banter,8,188,18971,0.005334563916841542,0.021565665946049646,0.004033223841028987,0.007964362455769635,0.0157102805342515,0.00862809555747939,0.008251644819304762,0.026226966571135654,5.334563916841555,21.565665946049673,4.033223841028998,7.964362455769651,15.710280534251522,8.628095557479407,8.25164481930478,26.22696657113568
banter,9,188,30308,0.006826963261040548,0.01928150259800201,0.00438898292354188,0.010833562026633591,0.01842753723373497,0.008322757149919929,0.009610052662848706,0.026959324559990318,6.8269632610405715,19.281502598002042,4.388982923541897,10.833562026633615,18.427537233735,8.32275714991995,9.610052662848732,26.95932455999035
banter,10,189,33468,0.006594045241176018,0.022160178259714558,0.005438207263745087,0.010379107440073117,0.020816021387028226,0.008836565142966806,0.008857416620909792,0.02859727811804047,6.59404524117604,22.160178259714584,5.438207263745107,10.37910744007314,20.816021387028254,8.83656514296683,8.857416620909818,28.597278118040503
banter,11,188,32214,0.006336762724262263,0.020309560774965745,0.004051892158920166,0.008899521610175045,0.018528994221154116,0.008433910534576178,0.009106908901240551,0.02812385617156104,6.336762724262283,20.309560774965778,4.051892158920184,8.899521610175071,18.528994221154154,8.4339105345762,9.106908901240581,28.123856171561076
banter,12,188,32640,0.007730123417607194,0.018199443069795505,0.003999135041006163,0.009705291048523844,0.014306567418700823,0.00705427545512265,0.008204925117568254,0.02702937838620256,7.730123417607216,18.199443069795535,3.999135041006179,9.705291048523867,14.306567418700848,7.05427545512267,8.204925117568278,27.02937838620259
banter,13,189,35426,0.005411569204542907,0.020997486369240967,0.005065587012271489,0.007951213865175409,0.016432509769086053,0.007556692435466356,0.009803780383680292,0.027820095925695423,5.411569204542925,20.997486369241,5.065587012271506,7.951213865175433,16.43250976908608,7.5566924354663785,9.80378038368032,27.82009592569545
baseline,0,39,3502,0.008429565456890721,0.030711183890228585,0.005998824812258534,0.01114096459155354,0.01988928006099031,0.012207593448838875,0.01198827199950309,0.026497802623807323,8.429565456890737,30.71118389022861,5.99882481225855,11.14096459155356,19.889280060990334,12.207593448838894,11.988271999503109,26.497802623807345
baseline,1,38,5016,0.0069818425477592835,0.028540588946374797,0.005423288423733678,0.010878419165118497,0.025914337069989496,0.007443122243377061,0.010502920483642306,0.03368288651647415,6.981842547759306,28.54058894637483,5.423288423733701,10.878419165118519,25.914337069989518,7.44312224337708,10.502920483642331,33.682886516474184
baseline,2,38,3499,0.004582087552371036,0.023411930492907195,0.004132551072321372,0.00756548323294716,0.028445056486300673,0.0050153371745974475,0.005971116945814998,0.0290203795148202,4.582087552371047,23.41193049290722,4.132551072321384,7.565483232947176,28.445056486300693,5.015337174597465,5.971116945815018,29.02037951482023
baseline,3,38,4651,0.010543761109294437,0.02037750497632464,0.0063012246903089075,0.010108664117127356,0.01719973550385376,0.011155674025218129,0.0129233131629842,0.029487061580759782,10.543761109294461,20.377504976324666,6.301224690308922,10.108664117127379,17.199735503853788,11.155674025218161,12.923313162984222,29.487061580759814
baseline,4,37,5788,0.007932246931004808,0.022772534453267573,0.004197522605789192,0.009822022015396373,0.016350296440843348,0.009954377973964108,0.011188129627736992,0.023786516952016255,7.932246931004828,22.772534453267614,4.19752260578921,9.822022015396394,16.35029644084338,9.954377973964137,11.18812962773702,23.786516952016292
baseline,5,39,6218,0.0045594644831951385,0.0222169155255647,0.0042615050684528385,0.011066612474845413,0.020094723655151532,0.010739511853327829,0.011162646590144381,0.02843841547320032,4.55946448319516,22.216915525564737,4.261505068452856,11.066612474845444,20.094723655151572,10.739511853327858,11.162646590144416,28.43841547320037
baseline,6,38,5679,0.005770418377598184,0.01741939170705369,0.003407152317287253,0.007632139971340474,0.01452384269591248,0.00831434941687745,0.006698974196631831,0.02325969994454953,5.77041837759821,17.419391707053734,3.40715231728727,7.6321399713405045,14.523842695912514,8.31434941687748,6.698974196631853,23.25969994454958
baseline,7,38,10958,0.005375028918678142,0.020984236496141343,0.003661645133480776,0.007921909110575229,0.01925327733677013,0.008963200018073953,0.007842574765184615,0.029357677866978044,5.375028918678162,20.984236496141378,3.6616451334808056,7.92190911057527,19.253277336770154,8.963200018073985,7.8425747651846525,29.357677866978076
baseline,8,37,8805,0.0068439091149851165,0.016603024016146113,0.004543584793720757,0.015298967763276,0.014512985185227634,0.010207864039368792,0.008182454775493373,0.027206926172159307,6.84390911498514,16.603024016146144,4.543584793720778,15.298967763276034,14.512985185227667,10.20786403936882,8.1824547754934,27.206926172159346
baseline,9,38,8706,0.005405520998775676,0.021011265406617435,0.0021336666473407502,0.00715691766096322,0.015243028671905511,0.0053657156988654075,0.007246740571045211,0.02734368248943389,5.405520998775708,21.011265406617472,2.133666647340767,7.156917660963252,15.243028671905533,5.365715698865438,7.246740571045244,27.343682489433927
baseline,10,39,6944,0.006056805372894418,0.01824090385186474,0.004031777913035921,0.008455022291487495,0.01460299546759388,0.005386064443076736,0.009593357381822029,0.020720538579690393,6.056805372894438,18.240903851864772,4.0317779130359295,8.45502229148752,14.602995467593908,5.386064443076758,9.593357381822049,20.72053857969043
baseline,11,38,9854,0.005426700074237411,0.023150239587281126,0.004429283725980876,0.009993063469601682,0.019570259181853514,0.009241668319610126,0.012489954526495081,0.027730493620852833,5.426700074237426,23.15023958728116,4.429283725980895,9.993063469601713,19.570259181853547,9.241668319610152,12.48995452649512,27.73049362085287
baseline,12,37,5580,0.0048136801135712625,0.016738006124890858,0.004576300736771359,0.011616741031102657,0.012719798630226722,0.013833624339315955,0.006610404280692248,0.02820205201531521,4.813680113571277,16.738006124890887,4.576300736771375,11.616741031102679,12.719798630226748,13.833624339315978,6.610404280692273,28.202052015315243
baseline,13,39,12429,0.006010149663491856,0.023766798371633476,0.004663014017718366,0.006802146517599028,0.02255846773058193,0.008440949407981724,0.010366700461269005,0.024453223404151916,6.010149663491884,23.76679837163352,4.663014017718388,6.802146517599057,22.558467730581977,8.44094940798176,10.36670046126904,24.453223404151952
