environment,msg_index_count,total_tokens_sum,total_tokens_mean,score_anger_mean,score_anger_std,score_anticipation_mean,score_anticipation_std,score_disgust_mean,score_disgust_std,score_fear_mean,score_fear_std,score_joy_mean,score_joy_std,score_sadness_mean,score_sadness_std,score_surprise_mean,score_surprise_std,score_trust_mean,score_trust_std,per1k_anger_mean,per1k_anger_std,per1k_anticipation_mean,per1k_anticipation_std,per1k_disgust_mean,per1k_disgust_std,per1k_fear_mean,per1k_fear_std,per1k_joy_mean,per1k_joy_std,per1k_sadness_mean,per1k_sadness_std,per1k_surprise_mean,per1k_surprise_std,per1k_trust_mean,per1k_trust_std
banter,2637,305568,115.87713310580205,0.005402423358089805,0.012044161560465508,0.02223880858512628,0.02981186566233535,0.004368354331291473,0.013735355378489555,0.008272730311064694,0.017786550651404463,0.017384678045706682,0.029867243409544428,0.007896423706655876,0.016263690546414293,0.009286394335927782,0.021304416900296122,0.02683367639021246,0.03260813873727383,5.402423358089821,12.044161560465524,22.238808585126307,29.81186566233538,4.368354331291485,13.735355378489576,8.272730311064713,17.786550651404482,17.384678045706707,29.867243409544443,7.896423706655894,16.26369054641429,9.286394335927803,21.304416900296136,26.833676390212492,32.60813873727385
baseline,533,97629,183.1688555347092,0.0063363058461112865,0.010414134067565143,0.02188501715422935,0.02124254624694885,0.00441382496826793,0.008861146446588206,0.00965885892074523,0.013272441319432492,0.01866215681634457,0.02047971789857919,0.009007508900741713,0.012497131865057395,0.009497743450188128,0.014187617433667253,0.027073234599627218,0.02286608474996282,6.3363058461113075,10.414134067565154,21.885017154229384,21.24254624694885,4.413824968267948,8.861146446588215,9.658858920745256,13.272441319432497,18.6621568163446,20.47971789857919,9.007508900741739,12.497131865057405,9.497743450188153,14.187617433667272,27.073234599627252,22.86608474996283
four_guys,6187,115056,18.596411831259093,0.011259500043732659,0.03764344605619162,0.03084665683478703,0.06234365827395909,0.007777271655711957,0.029893556954384802,0.01375920606195436,0.04098507207367556,0.029507088007923093,0.061945219354747824,0.012680628208001421,0.03883348413652386,0.014917997070300653,0.042587279764911806,0.038666733565210366,0.07015373101966299,11.259500043732663,37.643446056191635,30.846656834787037,62.34365827395908,7.777271655711959,29.89355695438481,13.759206061954364,40.985072073675646,29.5070880079231,61.94521935474784,12.680628208001428,38.83348413652393,14.91799707030066,42.587279764911834,38.66673356521038,70.15373101966306
